Weight,MAE,RMSE,Peak_MAE
1,8.40251350402832,13.160100015648627,13.051604270935059
2,8.407181739807129,13.227475003593964,12.88932991027832
5,8.4790620803833,13.320180190875153,12.742191314697266
10,8.579994201660156,13.456350332010999,12.735875129699707
