Model,MAE,RMSE,R2
Random Forest,14.186472973194425,22.776150194367837,0.21263803684145188
XGBoost,14.610595703125,21.11618743007438,0.3232242465019226
Linear Regression,16.06548568008486,21.647928967155334,0.2887103277898796
